Матеріал: кирпичные та загальна площа: 28 / 16 / 6 м².,Вишняківська
Матеріал: <span>28 декабря 2020 г.</span> та загальна площа: 40 / 18 / 13 м².,Гонгадзе
Матеріал: монолитно-каркасные та загальна площа: 161 / 101 / 10.9 м².,Правди
Матеріал: 0 та загальна площа: 100 м².,Кольцова
Матеріал: 0 та загальна площа: 65 м².,Воскресенська
Матеріал: кирпичные та загальна площа: 213 / 150 / 40 м².,Руставелі
Матеріал: панельные та загальна площа: 62 / 35 / 8 м².,Голосіївський
Матеріал: 0 та загальна площа: 63 / 27 / 17 м².,Комбінатна
Матеріал: кирпичные та загальна площа: 90 / - / 15 м².,Салютна
Матеріал: 0 та загальна площа: 39 м².,Маланюка
Матеріал: кирпичные та загальна площа: 73 / 37 / 15 м².,Ромоданова
Матеріал: утепленная панель та загальна площа: 34 / 19 / 7 м².,Саперне Поле
Матеріал: <span>8 октября 2020 г.</span> та загальна площа: 50 / 19 / 14 м².,Сім’ї Кульженків
Матеріал: панельные та загальна площа: 39 / 27 / 6 м².,Лабораторна
Матеріал: монолитно-каркасные та загальна площа: 55 / 25 / 16 м².,Драгоманова
Матеріал: <span>16 февраля</span> та загальна площа: 58 / 26 / 13 м².,
Матеріал: 0 та загальна площа: 52 м².,Кудрявська
Матеріал: монолитно-каркасные та загальна площа: 92 / 50 / 27 м².,Краківська
Матеріал: панельные та загальна площа: 68 / 33 / 15 м².,Кольцова
Матеріал: <span>22 августа 2020 г.</span> та загальна площа: 84.7 / 37.23 / 17.56 м².,Антоновича
Матеріал: монолитно-каркасные та загальна площа: 65 / 15 / 25 м².,Лариси Руденко
Матеріал: монолитно-каркасные та загальна площа: 145 / 73 / 15 м².,Івана Пулюя
Матеріал: монолитно-каркасные та загальна площа: 58 / 32 / 14 м².,Українки
Матеріал: утепленная панель та загальна площа: 76 / 43 / 8.5 м².,Тютюнника
Матеріал: <span>5 октября 2020 г.</span> та загальна площа: 46 / 18 / 13 м².,Юрія Смолича
Матеріал: монолитно-каркасные та загальна площа: 88 / 62 / 10 м².,Оболонський
Матеріал: утепленная панель та загальна площа: 93.3 / 46.7 / 14.1 м².,Курбаса
Матеріал: <span>14 августа 2020 г.</span> та загальна площа: 41.6 / 18 / 13 м².,Верховинця
Матеріал: монолитно-каркасные та загальна площа: 58 / 16.3 / 18 м².,Зарічна
Матеріал: <span>2 ноября 2020 г.</span> та загальна площа: 52 / - / 17.78 м².,Дніпровська
Матеріал: монолитно-каркасные та загальна площа: 70 / 35 / 13 м².,Коломийський
Матеріал: монолитно-каркасные та загальна площа: 65 / 32 / 12.3 м².,Правди
Матеріал: монолитно-каркасные та загальна площа: 47 м².,Каховська
Матеріал: утепленная панель та загальна площа: 79 / 36 / 12 м².,Бойчука
Матеріал: кирпичные та загальна площа: 34 / 18 / 7 м².,Правди
Матеріал: монолитно-каркасные та загальна площа: 98 / 42.6 / 16 м².,Маккейна
Матеріал: монолитно-каркасные та загальна площа: 50 / 22 / 13 м².,Перемоги
Матеріал: монолитно-каркасные та загальна площа: 70 / 35 / 12 м².,Грушевського
Матеріал: панельные та загальна площа: 45 / 30 / 6 м².,Срібнокільська
Матеріал: монолитно-каркасные та загальна площа: 150 / 90 / 20 м².,Перемоги
Матеріал: монолитно-каркасные та загальна площа: 66 / 32 / 14 м².,Урлівська
Матеріал: <span>4 декабря 2020 г.</span> та загальна площа: 65 / 33 / 12 м².,Заболотного
Матеріал: 0 та загальна площа: 130 / 73 / 20 м².,Максимовича
Матеріал: монолитно-каркасные та загальна площа: 70 м².,Бажана
Матеріал: 0 та загальна площа: 60 / 28 / 10 м².,Сікорського
Матеріал: 0 та загальна площа: 78 / 37 / 13 м².,Курбаса
Матеріал: монолитно-каркасные та загальна площа: 53 м².,Дніпровська
Матеріал: монолитно-каркасные та загальна площа: 65 / 40 / 18 м².,Драгомирова
Матеріал: кирпичные та загальна площа: 87.3 / 52.3 / 7.9 м².,
